1. Using architecture PEs=4, L1=16, L2=128
    2. Model ncf_m with 12 layers: 3.785e+00
    3. Model mobilenet_v2 with 52 layers: 4.747e+00
    4. Model googlenet with 59 layers: 4.915e+00
    5. Model dlrmRMC1_m with 6 layers: 4.336e+00
    6. Model alexnet with 5 layers: 5.240e+00
    7. Model transformer with 96 layers: 3.961e+00
    8. Model resnet50 with 53 layers: 4.718e+00
    9. Model wide_resnet50 with 53 layers: 4.564e+00
    10. Model manual with 3 layers: 4.444e+00
    11. Model shufflenet_v2 with 56 layers: 4.738e+00
    12. Model squeezenet with 26 layers: 4.647e+00
    13. Model try with 3 layers: 4.363e+00
    14. Model resnet18 with 20 layers: 4.847e+00
    15. Model vgg16 with 13 layers: 4.459e+00
    16. Model densenet with 160 layers: 4.917e+00
    17. Model T5_m with 6 layers: 4.000e+00
    18. Model resnext50_32x4d with 53 layers: 4.495e+00
    19. Model BERT_m with 6 layers: 3.417e+00
    20. Model ALBERT_m with 5 layers: 2.725e+00

Final result with all models and fixed hardware = 4.605831694181326

27. Using architecture PEs=8, L1=32, L2=256
    1. Model mnasnet with 52 layers: 5.246e+00
    2. Model ncf_m with 12 layers: 4.542e+00
    3. Model mobilenet_v2 with 52 layers: 5.725e+00
    4. Model googlenet with 59 layers: 5.809e+00
    5. Model dlrmRMC1_m with 6 layers: 4.759e+00
    6. Model alexnet with 5 layers: 5.529e+00
    7. Model transformer with 96 layers: 4.384e+00
    8. Model resnet50 with 53 layers: 5.307e+00
    9. Model wide_resnet50 with 53 layers: 5.471e+00
    10. Model manual with 3 layers: 4.800e+00
    11. Model shufflenet_v2 with 56 layers: 5.533e+00
    12. Model squeezenet with 26 layers: 6.098e+00
    13. Model try with 3 layers: 5.657e+00
    14. Model resnet18 with 20 layers: 5.770e+00
    15. Model vgg16 with 13 layers: 5.377e+00
    16. Model densenet with 160 layers: 5.762e+00
    17. Model T5_m with 6 layers: 3.417e+00
    18. Model resnext50_32x4d with 53 layers: 5.590e+00
    19. Model BERT_m with 6 layers: 5.184e+00
    20. Model ALBERT_m with 5 layers: 2.927e+00

Final result with all models and fixed hardware = 5.393030932341

28. Using architecture PEs=8, L1=32, L2=512
    1. Model mnasnet with 52 layers: 6.416e+00
    2. Model ncf_m with 12 layers: 5.933e+00
    3. Model mobilenet_v2 with 52 layers: 6.235e+00
    4. Model googlenet with 59 layers: 6.451e+00
    5. Model dlrmRMC1_m with 6 layers: 4.680e+00
    6. Model alexnet with 5 layers: 6.639e+00
    7. Model transformer with 96 layers: 5.119e+00
    8. Model resnet50 with 53 layers: 5.862e+00
    9. Model wide_resnet50 with 53 layers: 6.128e+00
    10. Model manual with 3 layers: 7.424e+00
    11. Model shufflenet_v2 with 56 layers: 6.083e+00
    12. Model squeezenet with 26 layers: 6.375e+00
    13. Model try with 3 layers: 4.844e+00
    14. Model resnet18 with 20 layers: 6.376e+00
    15. Model vgg16 with 13 layers: 5.992e+00
    16. Model densenet with 160 layers: 6.416e+00
    17. Model T5_m with 6 layers: 5.665e+00
    18. Model resnext50_32x4d with 53 layers: 6.360e+00
    19. Model BERT_m with 6 layers: 4.551e+00
    20. Model ALBERT_m with 5 layers: 3.871e+00

Final result with all models and fixed hardware = 6.076724752368063

29. Using architecture PEs=8, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 6.707e+00
    2. Model ncf_m with 12 layers: 5.979e+00
    3. Model mobilenet_v2 with 52 layers: 6.769e+00
    4. Model googlenet with 59 layers: 6.666e+00
    5. Model dlrmRMC1_m with 6 layers: 5.517e+00
    6. Model alexnet with 5 layers: 6.109e+00
    7. Model transformer with 96 layers: 5.729e+00
    8. Model resnet50 with 53 layers: 6.691e+00
    9. Model wide_resnet50 with 53 layers: 6.590e+00
    10. Model manual with 3 layers: 7.455e+00
    11. Model shufflenet_v2 with 56 layers: 6.391e+00
    12. Model squeezenet with 26 layers: 6.563e+00
    13. Model try with 3 layers: 6.302e+00
    14. Model resnet18 with 20 layers: 6.866e+00
    15. Model vgg16 with 13 layers: 6.213e+00
    16. Model densenet with 160 layers: 6.713e+00
    17. Model T5_m with 6 layers: 4.026e+00
    18. Model resnext50_32x4d with 53 layers: 6.692e+00
    19. Model BERT_m with 6 layers: 6.131e+00
    20. Model ALBERT_m with 5 layers: 3.869e+00

Final result with all models and fixed hardware = 6.468584152909336

30. Using architecture PEs=8, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 7.080e+00
    2. Model ncf_m with 12 layers: 6.186e+00
    3. Model mobilenet_v2 with 52 layers: 7.045e+00
    4. Model googlenet with 59 layers: 6.928e+00
    5. Model dlrmRMC1_m with 6 layers: 6.676e+00
    6. Model alexnet with 5 layers: 7.100e+00
    7. Model transformer with 96 layers: 6.175e+00
    8. Model resnet50 with 53 layers: 6.892e+00
    9. Model wide_resnet50 with 53 layers: 6.971e+00
    10. Model manual with 3 layers: 6.407e+00
    11. Model shufflenet_v2 with 56 layers: 6.974e+00
    12. Model squeezenet with 26 layers: 7.082e+00
    13. Model try with 3 layers: 5.782e+00
    14. Model resnet18 with 20 layers: 7.311e+00
    15. Model vgg16 with 13 layers: 6.538e+00
    16. Model densenet with 160 layers: 6.894e+00
    17. Model T5_m with 6 layers: 6.478e+00
    18. Model resnext50_32x4d with 53 layers: 6.793e+00
    19. Model BERT_m with 6 layers: 6.517e+00
    20. Model ALBERT_m with 5 layers: 3.946e+00

Final result with all models and fixed hardware = 6.798139824086604

31. Using architecture PEs=8, L1=64, L2=128
    1. Model mnasnet with 52 layers: 4.607e+00
    2. Model ncf_m with 12 layers: 3.444e+00
    3. Model mobilenet_v2 with 52 layers: 4.640e+00
    4. Model googlenet with 59 layers: 4.930e+00
    5. Model dlrmRMC1_m with 6 layers: 4.197e+00
    6. Model alexnet with 5 layers: 4.799e+00
    7. Model transformer with 96 layers: 3.922e+00
    8. Model resnet50 with 53 layers: 4.740e+00
    9. Model wide_resnet50 with 53 layers: 4.489e+00
    10. Model manual with 3 layers: 4.635e+00
    11. Model shufflenet_v2 with 56 layers: 4.497e+00
    12. Model squeezenet with 26 layers: 5.022e+00
    13. Model try with 3 layers: 4.363e+00
    14. Model resnet18 with 20 layers: 5.124e+00
    15. Model vgg16 with 13 layers: 4.139e+00
    16. Model densenet with 160 layers: 4.807e+00
    17. Model T5_m with 6 layers: 3.888e+00
    18. Model resnext50_32x4d with 53 layers: 4.855e+00
    19. Model BERT_m with 6 layers: 4.443e+00
    20. Model ALBERT_m with 5 layers: 2.400e+00

Final result with all models and fixed hardware = 4.576519468200271

32. Using architecture PEs=8, L1=64, L2=256
    1. Model mnasnet with 52 layers: 5.631e+00
    2. Model ncf_m with 12 layers: 4.260e+00
    3. Model mobilenet_v2 with 52 layers: 5.669e+00
    4. Model googlenet with 59 layers: 6.036e+00
    5. Model dlrmRMC1_m with 6 layers: 4.812e+00
    6. Model alexnet with 5 layers: 5.951e+00
    7. Model transformer with 96 layers: 4.401e+00
    8. Model resnet50 with 53 layers: 5.486e+00
    9. Model wide_resnet50 with 53 layers: 5.614e+00
    10. Model manual with 3 layers: 6.320e+00
    11. Model shufflenet_v2 with 56 layers: 5.743e+00
    12. Model squeezenet with 26 layers: 5.886e+00
    13. Model try with 3 layers: 4.315e+00
    14. Model resnet18 with 20 layers: 5.994e+00
    15. Model vgg16 with 13 layers: 5.032e+00
    16. Model densenet with 160 layers: 5.830e+00
    17. Model T5_m with 6 layers: 4.393e+00
    18. Model resnext50_32x4d with 53 layers: 5.940e+00
    19. Model BERT_m with 6 layers: 4.308e+00
    20. Model ALBERT_m with 5 layers: 2.791e+00

Final result with all models and fixed hardware = 5.507418169147496

33. Using architecture PEs=8, L1=64, L2=512
    1. Model mnasnet with 52 layers: 6.379e+00
    2. Model ncf_m with 12 layers: 5.121e+00
    3. Model mobilenet_v2 with 52 layers: 6.378e+00
    4. Model googlenet with 59 layers: 6.410e+00
    5. Model dlrmRMC1_m with 6 layers: 5.408e+00
    6. Model alexnet with 5 layers: 6.906e+00
    7. Model transformer with 96 layers: 5.035e+00
    8. Model resnet50 with 53 layers: 5.884e+00
    9. Model wide_resnet50 with 53 layers: 6.133e+00
    10. Model manual with 3 layers: 6.112e+00
    11. Model shufflenet_v2 with 56 layers: 6.395e+00
    12. Model squeezenet with 26 layers: 6.491e+00
    13. Model try with 3 layers: 6.185e+00
    14. Model resnet18 with 20 layers: 6.091e+00
    15. Model vgg16 with 13 layers: 6.326e+00
    16. Model densenet with 160 layers: 6.365e+00
    17. Model T5_m with 6 layers: 5.225e+00
    18. Model resnext50_32x4d with 53 layers: 6.335e+00
    19. Model BERT_m with 6 layers: 4.638e+00
    20. Model ALBERT_m with 5 layers: 2.418e+00

Final result with all models and fixed hardware = 6.0669668403247625

34. Using architecture PEs=8, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 6.665e+00
    2. Model ncf_m with 12 layers: 5.827e+00
    3. Model mobilenet_v2 with 52 layers: 6.389e+00
    4. Model googlenet with 59 layers: 6.488e+00
    5. Model dlrmRMC1_m with 6 layers: 5.411e+00
    6. Model alexnet with 5 layers: 6.769e+00
    7. Model transformer with 96 layers: 5.398e+00
    8. Model resnet50 with 53 layers: 6.850e+00
    9. Model wide_resnet50 with 53 layers: 6.603e+00
    10. Model manual with 3 layers: 7.303e+00
    11. Model shufflenet_v2 with 56 layers: 6.832e+00
    12. Model squeezenet with 26 layers: 6.831e+00
    13. Model try with 3 layers: 5.858e+00
    14. Model resnet18 with 20 layers: 7.243e+00
    15. Model vgg16 with 13 layers: 6.531e+00
    16. Model densenet with 160 layers: 6.718e+00
    17. Model T5_m with 6 layers: 5.919e+00
    18. Model resnext50_32x4d with 53 layers: 6.569e+00
    19. Model BERT_m with 6 layers: 6.629e+00
    20. Model ALBERT_m with 5 layers: 3.169e+00

Final result with all models and fixed hardware = 6.458365263870095

35. Using architecture PEs=8, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 6.567e+00
    2. Model ncf_m with 12 layers: 5.596e+00
    3. Model mobilenet_v2 with 52 layers: 6.931e+00
    4. Model googlenet with 59 layers: 7.000e+00
    5. Model dlrmRMC1_m with 6 layers: 7.298e+00
    6. Model alexnet with 5 layers: 7.116e+00
    7. Model transformer with 96 layers: 6.163e+00
    8. Model resnet50 with 53 layers: 7.029e+00
    9. Model wide_resnet50 with 53 layers: 6.933e+00
    10. Model manual with 3 layers: 7.569e+00
    11. Model shufflenet_v2 with 56 layers: 6.763e+00
    12. Model squeezenet with 26 layers: 7.300e+00
    13. Model try with 3 layers: 6.706e+00
    14. Model resnet18 with 20 layers: 7.317e+00
    15. Model vgg16 with 13 layers: 7.576e+00
    16. Model densenet with 160 layers: 6.921e+00
    17. Model T5_m with 6 layers: 7.353e+00
    18. Model resnext50_32x4d with 53 layers: 6.866e+00
    19. Model BERT_m with 6 layers: 7.493e+00
    20. Model ALBERT_m with 5 layers: 3.356e+00

Final result with all models and fixed hardware = 6.801509023004061

36. Using architecture PEs=8, L1=128, L2=128
    1. Model mnasnet with 52 layers: 4.720e+00
    2. Model ncf_m with 12 layers: 3.749e+00
    3. Model mobilenet_v2 with 52 layers: 4.724e+00
    4. Model googlenet with 59 layers: 5.022e+00
    5. Model dlrmRMC1_m with 6 layers: 3.360e+00
    6. Model alexnet with 5 layers: 5.844e+00
    7. Model transformer with 96 layers: 4.065e+00
    8. Model resnet50 with 53 layers: 4.687e+00
    9. Model wide_resnet50 with 53 layers: 4.501e+00
    10. Model manual with 3 layers: 4.049e+00
    11. Model shufflenet_v2 with 56 layers: 4.690e+00
    12. Model squeezenet with 26 layers: 4.632e+00
    13. Model try with 3 layers: 4.100e+00
    14. Model resnet18 with 20 layers: 4.613e+00
    15. Model vgg16 with 13 layers: 4.698e+00
    16. Model densenet with 160 layers: 4.923e+00
    17. Model T5_m with 6 layers: 4.000e+00
    18. Model resnext50_32x4d with 53 layers: 4.711e+00
    19. Model BERT_m with 6 layers: 4.222e+00
    20. Model ALBERT_m with 5 layers: 2.400e+00

Final result with all models and fixed hardware = 4.625707554803789

37. Using architecture PEs=8, L1=128, L2=256
    1. Model mnasnet with 52 layers: 5.610e+00
    2. Model ncf_m with 12 layers: 4.346e+00
    3. Model mobilenet_v2 with 52 layers: 5.734e+00
    4. Model googlenet with 59 layers: 5.765e+00
    5. Model dlrmRMC1_m with 6 layers: 5.309e+00
    6. Model alexnet with 5 layers: 6.479e+00
    7. Model transformer with 96 layers: 4.268e+00
    8. Model resnet50 with 53 layers: 5.429e+00
    9. Model wide_resnet50 with 53 layers: 5.196e+00
    10. Model manual with 3 layers: 5.115e+00
    11. Model shufflenet_v2 with 56 layers: 5.364e+00
    12. Model squeezenet with 26 layers: 5.900e+00
    13. Model try with 3 layers: 5.929e+00
    14. Model resnet18 with 20 layers: 6.228e+00
    15. Model vgg16 with 13 layers: 5.319e+00
    16. Model densenet with 160 layers: 5.760e+00
    17. Model T5_m with 6 layers: 4.429e+00
    18. Model resnext50_32x4d with 53 layers: 5.296e+00
    19. Model BERT_m with 6 layers: 4.570e+00
    20. Model ALBERT_m with 5 layers: 2.720e+00

Final result with all models and fixed hardware = 5.37182195669824

38. Using architecture PEs=8, L1=128, L2=512
    1. Model mnasnet with 52 layers: 6.514e+00
    2. Model ncf_m with 12 layers: 5.214e+00
    3. Model mobilenet_v2 with 52 layers: 6.295e+00
    4. Model googlenet with 59 layers: 6.656e+00
    5. Model dlrmRMC1_m with 6 layers: 6.085e+00
    6. Model alexnet with 5 layers: 6.281e+00
    7. Model transformer with 96 layers: 5.100e+00
    8. Model resnet50 with 53 layers: 6.307e+00
    9. Model wide_resnet50 with 53 layers: 5.916e+00
    10. Model manual with 3 layers: 6.402e+00
    11. Model shufflenet_v2 with 56 layers: 5.978e+00
    12. Model squeezenet with 26 layers: 6.613e+00
    13. Model try with 3 layers: 5.833e+00
    14. Model resnet18 with 20 layers: 6.064e+00
    15. Model vgg16 with 13 layers: 5.809e+00
    16. Model densenet with 160 layers: 6.478e+00
    17. Model T5_m with 6 layers: 5.224e+00
    18. Model resnext50_32x4d with 53 layers: 6.337e+00
    19. Model BERT_m with 6 layers: 5.144e+00
    20. Model ALBERT_m with 5 layers: 2.791e+00

Final result with all models and fixed hardware = 6.1101693058186735

39. Using architecture PEs=8, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 6.928e+00
    2. Model ncf_m with 12 layers: 5.684e+00
    3. Model mobilenet_v2 with 52 layers: 7.030e+00
    4. Model googlenet with 59 layers: 6.674e+00
    5. Model dlrmRMC1_m with 6 layers: 6.981e+00
    6. Model alexnet with 5 layers: 5.973e+00
    7. Model transformer with 96 layers: 5.653e+00
    8. Model resnet50 with 53 layers: 6.718e+00
    9. Model wide_resnet50 with 53 layers: 6.697e+00
    10. Model manual with 3 layers: 7.476e+00
    11. Model shufflenet_v2 with 56 layers: 6.679e+00
    12. Model squeezenet with 26 layers: 7.194e+00
    13. Model try with 3 layers: 5.512e+00
    14. Model resnet18 with 20 layers: 6.795e+00
    15. Model vgg16 with 13 layers: 6.044e+00
    16. Model densenet with 160 layers: 6.760e+00
    17. Model T5_m with 6 layers: 5.271e+00
    18. Model resnext50_32x4d with 53 layers: 6.469e+00
    19. Model BERT_m with 6 layers: 6.194e+00
    20. Model ALBERT_m with 5 layers: 3.163e+00

Final result with all models and fixed hardware = 6.544960439783491

40. Using architecture PEs=8, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 6.965e+00
    2. Model ncf_m with 12 layers: 6.741e+00
    3. Model mobilenet_v2 with 52 layers: 7.029e+00
    4. Model googlenet with 59 layers: 6.941e+00
    5. Model dlrmRMC1_m with 6 layers: 6.186e+00
    6. Model alexnet with 5 layers: 6.430e+00
    7. Model transformer with 96 layers: 6.493e+00
    8. Model resnet50 with 53 layers: 6.903e+00
    9. Model wide_resnet50 with 53 layers: 6.678e+00
    10. Model manual with 3 layers: 7.738e+00
    11. Model shufflenet_v2 with 56 layers: 7.031e+00
    12. Model squeezenet with 26 layers: 6.988e+00
    13. Model try with 3 layers: 5.466e+00
    14. Model resnet18 with 20 layers: 7.409e+00
    15. Model vgg16 with 13 layers: 6.992e+00
    16. Model densenet with 160 layers: 7.149e+00
    17. Model T5_m with 6 layers: 6.208e+00
    18. Model resnext50_32x4d with 53 layers: 7.063e+00
    19. Model BERT_m with 6 layers: 7.215e+00
    20. Model ALBERT_m with 5 layers: 3.275e+00

Final result with all models and fixed hardware = 6.900778213802435

41. Using architecture PEs=16, L1=16, L2=128
    1. Model mnasnet with 52 layers: 7.810e+00
    2. Model ncf_m with 12 layers: 7.456e+00
    3. Model mobilenet_v2 with 52 layers: 7.763e+00
    4. Model googlenet with 59 layers: 7.833e+00
    5. Model dlrmRMC1_m with 6 layers: 7.729e+00
    6. Model alexnet with 5 layers: 6.712e+00
    7. Model transformer with 96 layers: 7.699e+00
    8. Model resnet50 with 53 layers: 7.861e+00
    9. Model wide_resnet50 with 53 layers: 7.823e+00
    10. Model manual with 3 layers: 6.667e+00
    11. Model shufflenet_v2 with 56 layers: 7.383e+00
    12. Model squeezenet with 26 layers: 8.189e+00
    13. Model try with 3 layers: 7.999e+00
    14. Model resnet18 with 20 layers: 8.163e+00
    15. Model vgg16 with 13 layers: 8.060e+00
    16. Model densenet with 160 layers: 8.097e+00
    17. Model T5_m with 6 layers: 8.000e+00
    18. Model resnext50_32x4d with 53 layers: 7.852e+00
    19. Model BERT_m with 6 layers: 8.000e+00
    20. Model ALBERT_m with 5 layers: 8.000e+00

Final result with all models and fixed hardware = 7.845453416779431

42. Using architecture PEs=16, L1=16, L2=256
    1. Model mnasnet with 52 layers: 8.893e+00
    2. Model ncf_m with 12 layers: 7.821e+00
    3. Model mobilenet_v2 with 52 layers: 9.299e+00
    4. Model googlenet with 59 layers: 8.987e+00
    5. Model dlrmRMC1_m with 6 layers: 7.520e+00
    6. Model alexnet with 5 layers: 8.812e+00
    7. Model transformer with 96 layers: 8.016e+00
    8. Model resnet50 with 53 layers: 9.760e+00
    9. Model wide_resnet50 with 53 layers: 8.690e+00
    10. Model manual with 3 layers: 1.228e+01
    11. Model shufflenet_v2 with 56 layers: 8.588e+00
    12. Model squeezenet with 26 layers: 9.903e+00
    13. Model try with 3 layers: 9.528e+00
    14. Model resnet18 with 20 layers: 8.608e+00
    15. Model vgg16 with 13 layers: 8.883e+00
    16. Model densenet with 160 layers: 9.603e+00
    17. Model T5_m with 6 layers: 9.025e+00
    18. Model resnext50_32x4d with 53 layers: 8.764e+00
    19. Model BERT_m with 6 layers: 8.505e+00
    20. Model ALBERT_m with 5 layers: 7.884e+00

Final result with all models and fixed hardware = 8.989975690121783

43. Using architecture PEs=16, L1=16, L2=512
    1. Model mnasnet with 52 layers: 1.101e+01
    2. Model ncf_m with 12 layers: 8.444e+00
    3. Model mobilenet_v2 with 52 layers: 1.117e+01
    4. Model googlenet with 59 layers: 1.170e+01
    5. Model dlrmRMC1_m with 6 layers: 1.078e+01
    6. Model alexnet with 5 layers: 1.176e+01
    7. Model transformer with 96 layers: 8.816e+00
    8. Model resnet50 with 53 layers: 1.029e+01
    9. Model wide_resnet50 with 53 layers: 1.087e+01
    10. Model manual with 3 layers: 1.321e+01
    11. Model shufflenet_v2 with 56 layers: 1.113e+01
    12. Model squeezenet with 26 layers: 1.056e+01
    13. Model try with 3 layers: 1.026e+01
    14. Model resnet18 with 20 layers: 1.013e+01
    15. Model vgg16 with 13 layers: 1.123e+01
    16. Model densenet with 160 layers: 1.131e+01
    17. Model T5_m with 6 layers: 8.444e+00
    18. Model resnext50_32x4d with 53 layers: 1.081e+01
    19. Model BERT_m with 6 layers: 9.863e+00
    20. Model ALBERT_m with 5 layers: 8.714e+00

Final result with all models and fixed hardware = 10.675649772665764

44. Using architecture PEs=16, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 1.125e+01
    2. Model ncf_m with 12 layers: 9.328e+00
    3. Model mobilenet_v2 with 52 layers: 1.189e+01
    4. Model googlenet with 59 layers: 1.235e+01
    5. Model dlrmRMC1_m with 6 layers: 8.325e+00
    6. Model alexnet with 5 layers: 1.204e+01
    7. Model transformer with 96 layers: 1.031e+01
    8. Model resnet50 with 53 layers: 1.185e+01
    9. Model wide_resnet50 with 53 layers: 1.231e+01
    10. Model manual with 3 layers: 1.360e+01
    11. Model shufflenet_v2 with 56 layers: 1.146e+01
    12. Model squeezenet with 26 layers: 1.240e+01
    13. Model try with 3 layers: 1.269e+01
    14. Model resnet18 with 20 layers: 1.246e+01
    15. Model vgg16 with 13 layers: 1.125e+01
    16. Model densenet with 160 layers: 1.216e+01
    17. Model T5_m with 6 layers: 1.064e+01
    18. Model resnext50_32x4d with 53 layers: 1.141e+01
    19. Model BERT_m with 6 layers: 1.108e+01
    20. Model ALBERT_m with 5 layers: 8.332e+00

Final result with all models and fixed hardware = 11.616522407307171

45. Using architecture PEs=16, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 1.275e+01
    2. Model ncf_m with 12 layers: 1.127e+01
    3. Model mobilenet_v2 with 52 layers: 1.304e+01
    4. Model googlenet with 59 layers: 1.328e+01
    5. Model dlrmRMC1_m with 6 layers: 8.571e+00
    6. Model alexnet with 5 layers: 1.442e+01
    7. Model transformer with 96 layers: 1.131e+01
    8. Model resnet50 with 53 layers: 1.294e+01
    9. Model wide_resnet50 with 53 layers: 1.282e+01
    10. Model manual with 3 layers: 1.336e+01
    11. Model shufflenet_v2 with 56 layers: 1.201e+01
    12. Model squeezenet with 26 layers: 1.416e+01
    13. Model try with 3 layers: 1.072e+01
    14. Model resnet18 with 20 layers: 1.291e+01
    15. Model vgg16 with 13 layers: 1.268e+01
    16. Model densenet with 160 layers: 1.300e+01
    17. Model T5_m with 6 layers: 1.370e+01
    18. Model resnext50_32x4d with 53 layers: 1.252e+01
    19. Model BERT_m with 6 layers: 1.242e+01
    20. Model ALBERT_m with 5 layers: 1.255e+01

Final result with all models and fixed hardware = 12.631005322056835

46. Using architecture PEs=16, L1=32, L2=128
    1. Model mnasnet with 52 layers: 7.915e+00
    2. Model ncf_m with 12 layers: 7.065e+00
    3. Model mobilenet_v2 with 52 layers: 7.818e+00
    4. Model googlenet with 59 layers: 8.007e+00
    5. Model dlrmRMC1_m with 6 layers: 7.986e+00
    6. Model alexnet with 5 layers: 7.755e+00
    7. Model transformer with 96 layers: 8.039e+00
    8. Model resnet50 with 53 layers: 7.773e+00
    9. Model wide_resnet50 with 53 layers: 7.592e+00
    10. Model manual with 3 layers: 7.667e+00
    11. Model shufflenet_v2 with 56 layers: 7.815e+00
    12. Model squeezenet with 26 layers: 7.751e+00
    13. Model try with 3 layers: 7.666e+00
    14. Model resnet18 with 20 layers: 6.941e+00
    15. Model vgg16 with 13 layers: 7.859e+00
    16. Model densenet with 160 layers: 7.724e+00
    17. Model T5_m with 6 layers: 7.524e+00
    18. Model resnext50_32x4d with 53 layers: 7.613e+00
    19. Model BERT_m with 6 layers: 6.833e+00
    20. Model ALBERT_m with 5 layers: 8.000e+00

Final result with all models and fixed hardware = 7.766804872801083

47. Using architecture PEs=16, L1=32, L2=256
    1. Model mnasnet with 52 layers: 9.449e+00
    2. Model ncf_m with 12 layers: 8.121e+00
    3. Model mobilenet_v2 with 52 layers: 8.836e+00
    4. Model googlenet with 59 layers: 9.807e+00
    5. Model dlrmRMC1_m with 6 layers: 8.063e+00
    6. Model alexnet with 5 layers: 1.049e+01
    7. Model transformer with 96 layers: 7.809e+00
    8. Model resnet50 with 53 layers: 9.541e+00
    9. Model wide_resnet50 with 53 layers: 9.053e+00
    10. Model manual with 3 layers: 7.667e+00
    11. Model shufflenet_v2 with 56 layers: 9.180e+00
    12. Model squeezenet with 26 layers: 8.873e+00
    13. Model try with 3 layers: 9.954e+00
    14. Model resnet18 with 20 layers: 9.183e+00
    15. Model vgg16 with 13 layers: 8.563e+00
    16. Model densenet with 160 layers: 9.544e+00
    17. Model T5_m with 6 layers: 9.108e+00
    18. Model resnext50_32x4d with 53 layers: 8.995e+00
    19. Model BERT_m with 6 layers: 7.268e+00
    20. Model ALBERT_m with 5 layers: 9.085e+00

Final result with all models and fixed hardware = 9.070358694181326

48. Using architecture PEs=16, L1=32, L2=512
    1. Model mnasnet with 52 layers: 1.090e+01
    2. Model ncf_m with 12 layers: 8.257e+00
    3. Model mobilenet_v2 with 52 layers: 1.092e+01
    4. Model googlenet with 59 layers: 1.102e+01
    5. Model dlrmRMC1_m with 6 layers: 9.077e+00
    6. Model alexnet with 5 layers: 1.068e+01
    7. Model transformer with 96 layers: 8.800e+00
    8. Model resnet50 with 53 layers: 1.136e+01
    9. Model wide_resnet50 with 53 layers: 1.130e+01
    10. Model manual with 3 layers: 1.137e+01
    11. Model shufflenet_v2 with 56 layers: 1.086e+01
    12. Model squeezenet with 26 layers: 1.163e+01
    13. Model try with 3 layers: 8.055e+00
    14. Model resnet18 with 20 layers: 1.193e+01
    15. Model vgg16 with 13 layers: 1.068e+01
    16. Model densenet with 160 layers: 1.122e+01
    17. Model T5_m with 6 layers: 9.037e+00
    18. Model resnext50_32x4d with 53 layers: 1.111e+01
    19. Model BERT_m with 6 layers: 9.187e+00
    20. Model ALBERT_m with 5 layers: 9.444e+00

Final result with all models and fixed hardware = 10.722824860622465

49. Using architecture PEs=16, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 1.215e+01
    2. Model ncf_m with 12 layers: 1.134e+01
    3. Model mobilenet_v2 with 52 layers: 1.222e+01
    4. Model googlenet with 59 layers: 1.178e+01
    5. Model dlrmRMC1_m with 6 layers: 9.305e+00
    6. Model alexnet with 5 layers: 1.034e+01
    7. Model transformer with 96 layers: 9.726e+00
    8. Model resnet50 with 53 layers: 1.223e+01
    9. Model wide_resnet50 with 53 layers: 1.177e+01
    10. Model manual with 3 layers: 1.201e+01
    11. Model shufflenet_v2 with 56 layers: 1.184e+01
    12. Model squeezenet with 26 layers: 1.297e+01
    13. Model try with 3 layers: 1.155e+01
    14. Model resnet18 with 20 layers: 1.193e+01
    15. Model vgg16 with 13 layers: 1.088e+01
    16. Model densenet with 160 layers: 1.217e+01
    17. Model T5_m with 6 layers: 1.187e+01
    18. Model resnext50_32x4d with 53 layers: 1.242e+01
    19. Model BERT_m with 6 layers: 9.696e+00
    20. Model ALBERT_m with 5 layers: 9.305e+00

Final result with all models and fixed hardware = 11.697608703653588

50. Using architecture PEs=16, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 1.278e+01
    2. Model ncf_m with 12 layers: 1.116e+01
    3. Model mobilenet_v2 with 52 layers: 1.305e+01
    4. Model googlenet with 59 layers: 1.295e+01
    5. Model dlrmRMC1_m with 6 layers: 1.194e+01
    6. Model alexnet with 5 layers: 1.313e+01
    7. Model transformer with 96 layers: 1.174e+01
    8. Model resnet50 with 53 layers: 1.271e+01
    9. Model wide_resnet50 with 53 layers: 1.304e+01
    10. Model manual with 3 layers: 1.211e+01
    11. Model shufflenet_v2 with 56 layers: 1.265e+01
    12. Model squeezenet with 26 layers: 1.284e+01
    13. Model try with 3 layers: 1.033e+01
    14. Model resnet18 with 20 layers: 1.261e+01
    15. Model vgg16 with 13 layers: 1.404e+01
    16. Model densenet with 160 layers: 1.251e+01
    17. Model T5_m with 6 layers: 1.247e+01
    18. Model resnext50_32x4d with 53 layers: 1.260e+01
    19. Model BERT_m with 6 layers: 1.079e+01
    20. Model ALBERT_m with 5 layers: 1.074e+01

Final result with all models and fixed hardware = 12.553997968876862

51. Using architecture PEs=16, L1=64, L2=128
    1. Model mnasnet with 52 layers: 7.664e+00
    2. Model ncf_m with 12 layers: 7.039e+00
    3. Model mobilenet_v2 with 52 layers: 8.162e+00
